unharmonized value	icd_o_3_code	icd_o_3_preferred_name	do_id	do_name	ncit_concept_codes
8020/3	8020/3	Carcinoma, undifferentiated, NOS	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8020/3 : carcinoma, undifferentiated, nos	8020/3	Carcinoma, undifferentiated, NOS	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8020/6	8020/6	Metastatic carcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8021/3	8021/3	Carcinoma, anaplastic, NOS	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8022/3	8022/3	Pleomorphic carcinoma	DOID:5662	pleomorphic carcinoma	C4094
8023/3 : nuclear protein in testis (nut)-associated carcinoma	8023/3	Nuclear protein in testis (NUT) associated carcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8031/3	8031/3	Giant cell carcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8032/3	8032/3	Spindle cell carcinoma, NOS	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8033/3	8033/3	Pseudosarcomatous carcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8035/3	8035/3	Carcinoma with osteoclast-like giant cells	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8041/3	8041/3	Small cell carcinoma, NOS	DOID:0050685	small cell carcinoma	C4099
8041/3 : small cell carcinoma, nos	8041/3	Small cell carcinoma, NOS	DOID:0050685	small cell carcinoma	C4099
8041/34	8041/3	Small cell carcinoma, NOS	DOID:0050685	small cell carcinoma	C4099
8041/6	8041/6	Metastatic small cell carcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8042/3	8042/3	Oat cell carcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8045/3	8045/3	Combined small cell carcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8046/3	8046/3	Non-small cell carcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8046/6	8046/3	Non-small cell carcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8050/3	8050/3	Papillary carcinoma, NOS	DOID:3113	papillary carcinoma	C2927
8051/3	8051/3	Verrucous carcinoma, NOS	DOID:3737	verrucous carcinoma	C3781
8052/3	8052/3	Papillary squamous cell carcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8070/2	8070/2	Squamous cell carcinoma in situ, NOS	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8070/2 : squamous cell carcinoma in situ, nos	8070/2	Squamous cell carcinoma in situ, NOS	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8070/3	8070/3	Squamous cell carcinoma, NOS	DOID:1749	squamous cell carcinoma	C2929
8070/33	8070/3	Squamous cell carcinoma, NOS	DOID:1749	squamous cell carcinoma	C2929
8070/6	8070/6	Squamous cell carcinoma, metastatic, NOS	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8071/3	8071/3	Squamous cell carcinoma, keratinizing, NOS	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8072/3	8072/3	Squamous cell carcinoma, large cell, nonkeratinizing, NOS	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8072/3 : squamous cell carcinoma, large cell, nonkeratinizing, nos	8072/3	Squamous cell carcinoma, large cell, nonkeratinizing, NOS	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8073/3	8073/3	Squamous cell carcinoma, small cell, nonkeratinizing	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8074/3	8074/3	Squamous cell carcinoma, spindle cell	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8082/3	8082/3	Lymphoepithelial carcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8083/3	8083/3	Basaloid squamous cell carcinoma	DOID:5522	basaloid squamous cell carcinoma	C54244
8084/3	8084/3	Squamous cell carcinoma, clear cell type	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8090/3	8090/3	Basal cell carcinoma, NOS	DOID:2513	basal cell carcinoma	C156767;C3784;C7586
8097/3	8097/3	Basal cell carcinoma, nodular	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8098/3	8098/3	Adenoid basal carcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8120/2	8120/2	Urothelial carcinoma in situ	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8120/3	8120/3	Transitional cell carcinoma, NOS	DOID:2671	transitional cell carcinoma	C2930;C6783
8120/3 : transitional cell carcinoma, nos	8120/3	Transitional cell carcinoma, NOS	DOID:2671	transitional cell carcinoma	C2930;C6783
8121/1	8121/1	Sinonasal papilloma, inverted	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8121/3	8121/3	Schneiderian carcinoma	DOID:4003	Schneiderian carcinoma	C54287
8123/3	8123/3	Basaloid carcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8130/2	8130/2	Papillary urothelial carcinoma, non-invasive	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8130/2 : papillary urothelial carcinoma, non-invasive	8130/2	Papillary urothelial carcinoma, non-invasive	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8130/3	8130/3	Papillary transitional cell carcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8140/0	8140/0	Adenoma, NOS	DOID:657	adenoma	C2855;C4196
8140/1	8140/1	Atypical adenoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8140/2	8140/2	Adenocarcinoma in situ, NOS	DOID:4943	adenocarcinoma in situ	C4123
8140/3	8140/3	Adenocarcinoma, NOS	DOID:299	adenocarcinoma	C2852
8140/3 : adenocarcinoma, nos	8140/3	Adenocarcinoma, NOS	DOID:299	adenocarcinoma	C2852
8140/3 : adenocarcinoma, nos, 9440/3 : glioblastoma, nos	null	null	null	null	null
8140/33	8140/3	Adenocarcinoma, NOS	DOID:299	adenocarcinoma	C2852
8140/6	8140/6	Adenocarcinoma, metastatic, NOS	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8140/6 : adenocarcinoma, metastatic, nos	8140/6	Adenocarcinoma, metastatic, NOS	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8144/3	8144/3	Adenocarcinoma, intestinal type	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8145/3	8145/3	Carcinoma, diffuse type	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8150/1	8150/1	Pancreatic endocrine tumor, NOS	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8150/3 : pancreatic neuroendocrine tumor, nonfunctioning	8150/3	Pancreatic neuroendocrine tumor, nonfunctioning	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8155/3	8155/3	Vipoma, NOS	DOID:5574	VIPoma	C26749
8160/3	8160/3	Cholangiocarcinoma	DOID:4947	cholangiocarcinoma	C4436;C8265
8160/3 : cholangiocarcinoma	8160/3	Cholangiocarcinoma	DOID:4947	cholangiocarcinoma	C4436;C8265
8163/3	8163/3	Pancreatobiliary type carcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8170/3	8170/3	Hepatocellular carcinoma, NOS	DOID:684	hepatocellular carcinoma	C3099
8170/3 : hepatocellular carcinoma, nos	8170/3	Hepatocellular carcinoma, NOS	DOID:684	hepatocellular carcinoma	C3099
8170/3 : hepatocellular carcinoma, nos, 8960/3 : nephroblastoma, nos	null	null	null	null	null
8171/3	8171/3	Hepatocellular carcinoma, fibrolamellar	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8171/3 : hepatocellular carcinoma, fibrolamellar	8171/3	Hepatocellular carcinoma, fibrolamellar	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8173/3	8173/3	Hepatocellular carcinoma, spindle cell variant	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8174/3	8174/3	Hepatocellular carcinoma, clear cell type	DOID:5016	hepatocellular clear cell carcinoma	C5754
8180/3	8180/3	Combined hepatocellular carcinoma and cholangiocarcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8200/3	8200/3	Adenoid cystic carcinoma	DOID:0080202	adenoid cystic carcinoma	C2970
8200/3 : adenoid cystic carcinoma	8200/3	Adenoid cystic carcinoma	DOID:0080202	adenoid cystic carcinoma	C2970
8201/3	8201/3	Cribriform carcinoma, NOS	DOID:5675	cribriform carcinoma	C3680
8210/2 : adenocarcinoma in situ in adenomatous polyp	8210/2	Adenocarcinoma in situ in adenomatous polyp	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8211/0	8211/0	Tubular adenoma, NOS	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8211/3	8211/3	Tubular adenocarcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8211/6	8211/6	Metastatic Tubular adenocarcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8213/0	8213/0	Serrated adenoma, NOS	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8215/3	8215/3	Adenocarcinoma of anal glands	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8220/3	8220/3	Adenocarcinoma in adenomatous polyposis coli	DOID:0080409	familial adenomatous polyposis 1	__CDA_UNASSIGNED__
8230/3	8230/3	Solid carcinoma, NOS	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8240/1	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8240/3	8240/3	Neuroendocrine tumor, NOS	DOID:169	neuroendocrine tumor	C3809
8240/3 : neuroendocrine tumor, nos	8240/3	Neuroendocrine tumor, NOS	DOID:169	neuroendocrine tumor	C3809
8243/3	8243/3	Goblet cell carcinoid	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8244/3	8244/3	Mixed adenoneuroendocrine carcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8246/3	8246/3	Neuroendocrine carcinoma, NOS	DOID:1800	neuroendocrine carcinoma	C3773
8246/3 : neuroendocrine carcinoma, nos	8246/3	Neuroendocrine carcinoma, NOS	DOID:1800	neuroendocrine carcinoma	C3773
8246/6	8246/6	Metastatic Neuroendocrine carcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8247/3	8247/3	Merkel cell carcinoma	DOID:3965	Merkel cell carcinoma	C4068
8247/3 : merkel cell carcinoma	8247/3	Merkel cell carcinoma	DOID:3965	Merkel cell carcinoma	C4068
8249/3	8249/3	Neuroendocrine tumor, grade 2	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8249/6	8249/6	Metastatic  Atypical carcinoid tumor	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8250/3	8250/3	Lepidic adenocarcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8252/3	8252/3	Bronchiolo-alveolar carcinoma, non-mucinous	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8253/3	8253/3	Adenocarcinoma of the lung, mucinous	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8255/3	8255/3	Adenocarcinoma with mixed subtypes	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8255/3 : adenocarcinoma with mixed subtypes	8255/3	Adenocarcinoma with mixed subtypes	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8257/3	8257/3	Minimally invasive adenocarcinoma, mucinous	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8260/3	8260/3	Papillary adenocarcinoma, NOS	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8260/3 : papillary adenocarcinoma, nos	8260/3	Papillary adenocarcinoma, NOS	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8262/3	8262/3	Villous adenocarcinoma	DOID:4917	villous adenocarcinoma	C4142
8263/0	8263/0	Tubulovillous adenoma, NOS	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8263/3	8263/3	Adenocarcinoma in tubulovillous adenoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8265/3	8265/3	Micropapillary carcinoma, NOS	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8272/0	8272/0	Pituitary adenoma, NOS	DOID:3829	pituitary adenoma	C3329
8272/3	8272/3	Pituitary carcinoma, NOS	DOID:4916	pituitary carcinoma	C4536
8290/0	8290/0	Oxyphilic adenoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8290/3	8290/3	Oxyphilic adenocarcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8310	8310/3	Clear cell adenocarcinoma, NOS	DOID:4468	clear cell adenocarcinoma	C36815;C4072;C4156
8310/3	8310/3	Clear cell adenocarcinoma, NOS	DOID:4468	clear cell adenocarcinoma	C36815;C4072;C4156
8310/6	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8311/3	8311/3	Hereditary leiomyomatosis and renal cell carcinoma (HRCC)-associated renal cell carcinoma	DOID:0081413	renal cell carcinoma with MiT translocations	C154494
8312/3	8312/3	Renal cell carcinoma, NOS	DOID:4450	renal cell carcinoma	C9385
8312/3 : renal cell carcinoma, nos	8312/3	Renal cell carcinoma, NOS	DOID:4450	renal cell carcinoma	C9385
8317/3	8317/3	Renal cell carcinoma, chromophobe type	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8318/3	8318/3	Renal cell carcinoma, sarcomatoid	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8319/3	8319/3	Collecting duct carcinoma	DOID:4464	collecting duct carcinoma	C6194
8330/3	8330/3	Follicular carcinoma, NOS	DOID:3962	follicular thyroid carcinoma	C8054
8331/3	8331/3	Follicular adenocarcinoma, well differentiated	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8331/3 : follicular adenocarcinoma, well differentiated, 9500/3 : neuroblastoma, nos	null	null	null	null	null
8335/3	8335/3	Follicular carcinoma, minimally invasive	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8337/3	8337/3	Poorly differentiated thyroid carcinoma	DOID:3972	poorly differentiated thyroid carcinoma	C6040
8340/3	8340/3	Papillary carcinoma, follicular variant	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8341/3	8341/3	Papillary microcarcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8342/3	8342/3	Papillary carcinoma, oncocytic variant	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8344/3	8344/3	Papillary carcinoma, columnar cell	DOID:7088	columnar cell papillary thyroid carcinoma	C35830
8350/3	8350/3	Nonencapsulated sclerosing carcinoma	DOID:5914	diffuse sclerosing papillary thyroid carcinoma	C7427
8370/0	8370/0	Adrenal cortical adenoma, NOS	DOID:0050891	adrenal cortical adenoma	__CDA_UNASSIGNED__
8370/1	8370/0	Adrenal cortical adenoma, NOS	DOID:0050891	adrenal cortical adenoma	__CDA_UNASSIGNED__
8370/3	8370/3	Adrenal cortical carcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8370/3 : adrenal cortical carcinoma	8370/3	Adrenal cortical carcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8380/1	8380/1	Endometrioid adenoma, borderline malignancy	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8380/3	8380/3	Endometrioid adenocarcinoma, NOS	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8380/6	8380/3	Endometrioid adenocarcinoma, NOS	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8382/3	8382/3	Endometrioid adenocarcinoma, secretory variant	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8384/3	8384/3	Adenocarcinoma, endocervical type	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8390/3	8390/3	Adnexal adenocarcinoma, NOS	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8400/3	8400/3	Sweat gland adenocarcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8401/3	8401/3	Apocrine adenocarcinoma	DOID:4933	apocrine carcinoma	C4169
8403/0	8403/0	Spiradenoma, NOS	DOID:5444	spiradenoma	C4170
8409/3	8409/3	Porocarcinoma, NOS	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8410/3	8410/3	Sebaceous carcinoma	DOID:4840	sebaceous carcinoma	C8409
8430/3	8430/3	Mucoepidermoid carcinoma	DOID:4531	mucoepidermoid carcinoma	C3772
8430/3 : mucoepidermoid carcinoma	8430/3	Mucoepidermoid carcinoma	DOID:4531	mucoepidermoid carcinoma	C3772
8440/3	8440/3	Cystadenocarcinoma, NOS	DOID:3111	cystadenocarcinoma	C2971
8441/0	8441/0	Serous cystadenoma, NOS	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8441/3	8441/3	Serous carcinoma, NOS	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8441/3 : serous carcinoma, nos	8441/3	Serous carcinoma, NOS	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8441/6	8441/6	Metastatic Serous cystadenocarcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8442/1	8442/1	Serous borderline tumor, NOS	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8452/1	8452/1	Solid pseudopapillary tumor of ovary	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8452/3 : solid pseudopapillary neoplasm of pancreas	8452/3	Solid pseudopapillary neoplasm of the pancreas	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8453/2	8453/2	Intraductal Papillary mucinous neoplasm with high grade dysplasia	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8453/3	8453/3	Intraductal Papillary mucinous neoplasm with an associated invasive carcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8460/3	8460/3	Low grade serous carcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8461/3	8461/3	High grade serous carcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8461/6	8461/6	Metastatic Serous surface papilloma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8470/0	8470/0	Mucinous cystadenoma, NOS	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8472/1	8472/1	Mucinous cystic tumor of borderline malignancy	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8474/3	8474/3	Seromucinous carcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8480/3	8480/3	Mucinous adenocarcinoma	DOID:3030	mucinous adenocarcinoma	C26712;C27379
8480/3 : mucinous adenocarcinoma	8480/3	Mucinous adenocarcinoma	DOID:3030	mucinous adenocarcinoma	C26712;C27379
8480/6	8480/6	Pseudomyxoma peritonei	DOID:3559	pseudomyxoma peritonei	C3345
8481/3	8481/3	Mucin-producing adenocarcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8482/3	8482/3	Mucinous carcinoma, gastric type	DOID:8340	endocervical type cervical mucinous adenocarcinoma	__CDA_UNASSIGNED__
8482/6	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8490/3	8490/3	Signet ring cell carcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8490/3 : signet ring cell carcinoma	8490/3	Signet ring cell carcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8490/6	8490/6	Metastatic signet ring cell carcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8500/2	8500/2	Intraductal carcinoma, noninfiltrating, NOS	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8500/3	8500/3	Infiltrating duct carcinoma, NOS	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8500/6	8500/6	Metastatic Infiltrating duct carcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
85003	8500/3	Infiltrating duct carcinoma, NOS	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8501/2	8501/2	Comedocarcinoma, noninfiltrating	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8502/3	8502/3	Secretory carcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8502/3 : secretory carcinoma	8502/3	Secretory carcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
