unharmonized value	harmonized value
carmustine implant	__CDA_UNASSIGNED__
catumaxomab	__CDA_UNASSIGNED__
cediranib	__CDA_UNASSIGNED__
celecoxib	__CDA_UNASSIGNED__
cetuximab	__CDA_UNASSIGNED__
chemotherapy	__CDA_UNASSIGNED__
chimeric monoclonal antibody 81c6	__CDA_UNASSIGNED__
chlorambucil	__CDA_UNASSIGNED__
chloroquine	__CDA_UNASSIGNED__
cilengitide	__CDA_UNASSIGNED__
cintredekin besudotox	__CDA_UNASSIGNED__
cisplatin	__CDA_UNASSIGNED__
cixutumumab	__CDA_UNASSIGNED__
cladribine	__CDA_UNASSIGNED__
clinical trial	__CDA_UNASSIGNED__
clinical trial agent	__CDA_UNASSIGNED__
clodronate disodium	__CDA_UNASSIGNED__
clodronic acid	__CDA_UNASSIGNED__
conatumumab	__CDA_UNASSIGNED__
cositecan	__CDA_UNASSIGNED__
cyanocobalamin	__CDA_UNASSIGNED__
cyclophosphamide	__CDA_UNASSIGNED__
cyclosporine	__CDA_UNASSIGNED__
cytarabine	__CDA_UNASSIGNED__
dabrafenib	__CDA_UNASSIGNED__
dacarbazine	__CDA_UNASSIGNED__
daclizumab	__CDA_UNASSIGNED__
dactinomycin	__CDA_UNASSIGNED__
daratumumab	__CDA_UNASSIGNED__
dasatinib	__CDA_UNASSIGNED__
daunorubicin	__CDA_UNASSIGNED__
defactinib	__CDA_UNASSIGNED__
degarelix	__CDA_UNASSIGNED__
dendritic cell vaccine	__CDA_UNASSIGNED__
denosumab	__CDA_UNASSIGNED__
dexamethasone	__CDA_UNASSIGNED__
dexamethasone phosphate	__CDA_UNASSIGNED__
didox	__CDA_UNASSIGNED__
dinutuximab	__CDA_UNASSIGNED__
diphencyprone	__CDA_UNASSIGNED__
docetaxel	__CDA_UNASSIGNED__
doxifluridine	__CDA_UNASSIGNED__
doxorubicin	__CDA_UNASSIGNED__
doxorubicin hydrochloride	__CDA_UNASSIGNED__
durvalumab	__CDA_UNASSIGNED__
elotuzumab	__CDA_UNASSIGNED__
encorafenib	__CDA_UNASSIGNED__
enfortumab vedotin	__CDA_UNASSIGNED__
entinostat	__CDA_UNASSIGNED__
enzastaurin	__CDA_UNASSIGNED__
enzastaurin hydrochloride	__CDA_UNASSIGNED__
epirubicin	__CDA_UNASSIGNED__
epirubicin hydrochloride	__CDA_UNASSIGNED__
erdafitinib	__CDA_UNASSIGNED__
eribulin	__CDA_UNASSIGNED__
eribulin mesylate	__CDA_UNASSIGNED__
erlotinib	__CDA_UNASSIGNED__
erlotinib hydrochloride	__CDA_UNASSIGNED__
estramustine	__CDA_UNASSIGNED__
etoposide	__CDA_UNASSIGNED__
etoposide phosphate	__CDA_UNASSIGNED__
everolimus	__CDA_UNASSIGNED__
exemestane	__CDA_UNASSIGNED__
fenretinide	__CDA_UNASSIGNED__
filgrastim	__CDA_UNASSIGNED__
floxuridine	__CDA_UNASSIGNED__
fludarabine	__CDA_UNASSIGNED__
fluorouracil	__CDA_UNASSIGNED__
fosaprepitant	__CDA_UNASSIGNED__
fotemustine	__CDA_UNASSIGNED__
fulvestrant	__CDA_UNASSIGNED__
gamma-secretase inhibitor ro4929097	__CDA_UNASSIGNED__
gefitinib	__CDA_UNASSIGNED__
gemcitabine	__CDA_UNASSIGNED__
gemcitabine hydrochloride	__CDA_UNASSIGNED__
gemtuzumab ozogamicin	__CDA_UNASSIGNED__
glutathione pegylated liposomal doxorubicin hydrochloride formulation 2b3-101	__CDA_UNASSIGNED__
gonadotropin-releasing hormone analog	__CDA_UNASSIGNED__
goserelin	__CDA_UNASSIGNED__
goserelin acetate	__CDA_UNASSIGNED__
gossypol	__CDA_UNASSIGNED__
halichondrin b	__CDA_UNASSIGNED__
hormone therapy	__CDA_UNASSIGNED__
hpph	__CDA_UNASSIGNED__
hydroxychloroquine	__CDA_UNASSIGNED__
hydroxyurea	__CDA_UNASSIGNED__
ibandronate sodium	__CDA_UNASSIGNED__
ifosfamide	__CDA_UNASSIGNED__
imatinib	__CDA_UNASSIGNED__
imatinib mesylate	__CDA_UNASSIGNED__
imiquimod	__CDA_UNASSIGNED__
iniparib	__CDA_UNASSIGNED__
innate immunostimulator rbbx-01	__CDA_UNASSIGNED__
interferon	__CDA_UNASSIGNED__
interferon alfa-2b	__CDA_UNASSIGNED__
iodine i 131 monoclonal antibody 81c6	__CDA_UNASSIGNED__
ipilimumab	__CDA_UNASSIGNED__
irinotecan	__CDA_UNASSIGNED__
irinotecan hydrochloride	__CDA_UNASSIGNED__
irofulven	__CDA_UNASSIGNED__
isotretinoin	__CDA_UNASSIGNED__
ixabepilone	__CDA_UNASSIGNED__
ixazomib	__CDA_UNASSIGNED__
ketoconazole	__CDA_UNASSIGNED__
ladirubicin	__CDA_UNASSIGNED__
lanreotide acetate	__CDA_UNASSIGNED__
lapatinib	__CDA_UNASSIGNED__
laromustine	__CDA_UNASSIGNED__
leflunomide	__CDA_UNASSIGNED__
lenalidomide	__CDA_UNASSIGNED__
lenvatinib	__CDA_UNASSIGNED__
letrozole	__CDA_UNASSIGNED__
leucovorin	__CDA_UNASSIGNED__
leucovorin calcium	__CDA_UNASSIGNED__
leuprolide	__CDA_UNASSIGNED__
leuprolide acetate	__CDA_UNASSIGNED__
levetiracetam	__CDA_UNASSIGNED__
levothyroxine	__CDA_UNASSIGNED__
levothyroxine sodium	__CDA_UNASSIGNED__
light-emitting oncolytic vaccinia virus gl-onc1	__CDA_UNASSIGNED__
liothyronine sodium	__CDA_UNASSIGNED__
liposomal irinotecan	__CDA_UNASSIGNED__
lomustine	__CDA_UNASSIGNED__
lonafarnib	__CDA_UNASSIGNED__
lontucirev	__CDA_UNASSIGNED__
lurbinectedin	__CDA_UNASSIGNED__
mage-a3 peptide vaccine	__CDA_UNASSIGNED__
marimastat	__CDA_UNASSIGNED__
medroxyprogesterone acetate	__CDA_UNASSIGNED__
megestrol acetate	__CDA_UNASSIGNED__
melphalan	__CDA_UNASSIGNED__
mercaptopurine	__CDA_UNASSIGNED__
mesna	__CDA_UNASSIGNED__
metformin	__CDA_UNASSIGNED__
methotrexate	__CDA_UNASSIGNED__
methylprednisolone	__CDA_UNASSIGNED__
mibefradil	__CDA_UNASSIGNED__
mistletoe extract	__CDA_UNASSIGNED__
mitomycin	__CDA_UNASSIGNED__
mitotane	__CDA_UNASSIGNED__
mitoxantrone	__CDA_UNASSIGNED__
mivobulin isethionate	__CDA_UNASSIGNED__
monalizumab	__CDA_UNASSIGNED__
monoclonal antibody 81c6	__CDA_UNASSIGNED__
monoclonal antibody hu3s193	__CDA_UNASSIGNED__
motesanib diphosphate	__CDA_UNASSIGNED__
motexafin gadolinium	__CDA_UNASSIGNED__
multi-glioblastoma-peptide-targeting autologous dendritic cell vaccine ict-107	__CDA_UNASSIGNED__
muparfostat	__CDA_UNASSIGNED__
nab-paclitaxel	__CDA_UNASSIGNED__
nanoparticle albumin-bound rapamycin	__CDA_UNASSIGNED__
nelipepimut-s	__CDA_UNASSIGNED__
nilutamide	__CDA_UNASSIGNED__
nimustine	__CDA_UNASSIGNED__
niraparib	__CDA_UNASSIGNED__
nivolumab	__CDA_UNASSIGNED__
o6-benzylguanine	__CDA_UNASSIGNED__
octreotide acetate	__CDA_UNASSIGNED__
ofatumumab	__CDA_UNASSIGNED__
olaparib	__CDA_UNASSIGNED__
ondansetron hydrochloride	__CDA_UNASSIGNED__
ontuxizumab	__CDA_UNASSIGNED__
oregovomab	__CDA_UNASSIGNED__
osimertinib	__CDA_UNASSIGNED__
oxaliplatin	__CDA_UNASSIGNED__
oxcarbazepine	__CDA_UNASSIGNED__
paclitaxel	__CDA_UNASSIGNED__
paclitaxel poliglumex	__CDA_UNASSIGNED__
palonosetron hydrochloride	__CDA_UNASSIGNED__
pamidronate disodium	__CDA_UNASSIGNED__
pamidronic acid	__CDA_UNASSIGNED__
pan-vegfr/tie2 tyrosine kinase inhibitor cep-11981	__CDA_UNASSIGNED__
panitumumab	__CDA_UNASSIGNED__
panobinostat	__CDA_UNASSIGNED__
pasireotide	__CDA_UNASSIGNED__
patupilone	__CDA_UNASSIGNED__
pazopanib	__CDA_UNASSIGNED__
pazopanib hydrochloride	__CDA_UNASSIGNED__
pegdinetanib	__CDA_UNASSIGNED__
pegfilgrastim	__CDA_UNASSIGNED__
peginterferon alfa-2b	__CDA_UNASSIGNED__
pegylated liposomal doxorubicin hydrochloride	__CDA_UNASSIGNED__
pelareorep	__CDA_UNASSIGNED__
pembrolizumab	__CDA_UNASSIGNED__
pemetrexed	__CDA_UNASSIGNED__
pemetrexed disodium	__CDA_UNASSIGNED__
pentostatin	__CDA_UNASSIGNED__
pep-3-klh conjugate vaccine	__CDA_UNASSIGNED__
perifosine	__CDA_UNASSIGNED__
pertuzumab	__CDA_UNASSIGNED__
pexidartinib	__CDA_UNASSIGNED__
phenytoin sodium	__CDA_UNASSIGNED__
pi3k-gamma inhibitor ipi-549	__CDA_UNASSIGNED__
platinum	__CDA_UNASSIGNED__
plevitrexed	__CDA_UNASSIGNED__
plicamycin	__CDA_UNASSIGNED__
poly iclc	__CDA_UNASSIGNED__
polysaccharide-k	__CDA_UNASSIGNED__
pomalidomide	__CDA_UNASSIGNED__
porfimer sodium	__CDA_UNASSIGNED__
prednisone	__CDA_UNASSIGNED__
procarbazine	__CDA_UNASSIGNED__
procarbazine hydrochloride	__CDA_UNASSIGNED__
pv-10	__CDA_UNASSIGNED__
pyrazinamide	__CDA_UNASSIGNED__
ralimetinib mesylate	__CDA_UNASSIGNED__
raltitrexed	__CDA_UNASSIGNED__
ramucirumab	__CDA_UNASSIGNED__
ras inhibitor	__CDA_UNASSIGNED__
recombinant adenovirus-p53 sch-58500	__CDA_UNASSIGNED__
recombinant erythropoietin	__CDA_UNASSIGNED__
recombinant granulocyte-macrophage colony-stimulating factor	__CDA_UNASSIGNED__
recombinant interferon alfa	__CDA_UNASSIGNED__
recombinant interferon alfa-2a	__CDA_UNASSIGNED__
recombinant interferon alfa-2b	__CDA_UNASSIGNED__
recombinant interferon gamma	__CDA_UNASSIGNED__
recombinant interleukin-12	__CDA_UNASSIGNED__
recombinant interleukin-13	__CDA_UNASSIGNED__
recombinant interleukin-18	__CDA_UNASSIGNED__
recombinant interleukin-2	__CDA_UNASSIGNED__
recombinant luteinizing hormone	__CDA_UNASSIGNED__
recombinant mage-3.1 antigen	__CDA_UNASSIGNED__
recombinant prame protein plus as15 adjuvant gsk2302025a	__CDA_UNASSIGNED__
regorafenib	__CDA_UNASSIGNED__
resiquimod	__CDA_UNASSIGNED__
ridaforolimus	__CDA_UNASSIGNED__
rigosertib	__CDA_UNASSIGNED__
rilotumumab	__CDA_UNASSIGNED__
rituximab	__CDA_UNASSIGNED__
rivaroxaban	__CDA_UNASSIGNED__
romidepsin	__CDA_UNASSIGNED__
sacituzumab govitecan	__CDA_UNASSIGNED__
sargramostim	__CDA_UNASSIGNED__
selumetinib	__CDA_UNASSIGNED__
serine/threonine kinase inhibitor cbp501	__CDA_UNASSIGNED__
sirolimus	__CDA_UNASSIGNED__
sonolisib	__CDA_UNASSIGNED__
sorafenib	__CDA_UNASSIGNED__
sorafenib tosylate	__CDA_UNASSIGNED__
streptozocin	__CDA_UNASSIGNED__
sunitinib	__CDA_UNASSIGNED__
sunitinib malate	__CDA_UNASSIGNED__
suramin	__CDA_UNASSIGNED__
talimogene laherparepvec	__CDA_UNASSIGNED__
tamoxifen	__CDA_UNASSIGNED__
tamoxifen citrate	__CDA_UNASSIGNED__
tanespimycin	__CDA_UNASSIGNED__
taxane compound	__CDA_UNASSIGNED__
tegafur	__CDA_UNASSIGNED__
tegafur-gimeracil-oteracil potassium	__CDA_UNASSIGNED__
temozolomide	__CDA_UNASSIGNED__
temsirolimus	__CDA_UNASSIGNED__
teniposide	__CDA_UNASSIGNED__
teprotumumab	__CDA_UNASSIGNED__
tesetaxel	__CDA_UNASSIGNED__
tetrathiomolybdate	__CDA_UNASSIGNED__
thalidomide	__CDA_UNASSIGNED__
therapeutic hydrocortisone	__CDA_UNASSIGNED__
thioguanine	__CDA_UNASSIGNED__
thiotepa	__CDA_UNASSIGNED__
thyroid extract	__CDA_UNASSIGNED__
tipifarnib	__CDA_UNASSIGNED__
tivantinib	__CDA_UNASSIGNED__
tivozanib	__CDA_UNASSIGNED__
topotecan	__CDA_UNASSIGNED__
topotecan hydrochloride	__CDA_UNASSIGNED__
toremifene citrate	__CDA_UNASSIGNED__
total androgen blockade	__CDA_UNASSIGNED__
tovetumab	__CDA_UNASSIGNED__
trabectedin	__CDA_UNASSIGNED__
trametinib	__CDA_UNASSIGNED__
trastuzumab	__CDA_UNASSIGNED__
treosulfan	__CDA_UNASSIGNED__
tretinoin	__CDA_UNASSIGNED__
trifluridine and tipiracil hydrochloride	__CDA_UNASSIGNED__
triptorelin	__CDA_UNASSIGNED__
triptorelin pamoate	__CDA_UNASSIGNED__
tyrosine kinase inhibitor	__CDA_UNASSIGNED__
valproic acid	__CDA_UNASSIGNED__
valspodar	__CDA_UNASSIGNED__
vandetanib	__CDA_UNASSIGNED__
vatalanib	__CDA_UNASSIGNED__
veliparib	__CDA_UNASSIGNED__
vemurafenib	__CDA_UNASSIGNED__
vinblastine	__CDA_UNASSIGNED__
vinblastine sulfate	__CDA_UNASSIGNED__
vincristine	__CDA_UNASSIGNED__
vincristine sulfate	__CDA_UNASSIGNED__
vinorelbine	__CDA_UNASSIGNED__
vinorelbine tartrate	__CDA_UNASSIGNED__
vismodegib	__CDA_UNASSIGNED__
vitespen	__CDA_UNASSIGNED__
vorinostat	__CDA_UNASSIGNED__
vosaroxin	__CDA_UNASSIGNED__
warfarin sodium	__CDA_UNASSIGNED__
xeloda	__CDA_UNASSIGNED__
ziv-aflibercept	__CDA_UNASSIGNED__
zoledronic acid	__CDA_UNASSIGNED__
