unharmonized value	harmonized value
radiation, proton beam	__CDA_UNASSIGNED__
radiation, radioisotope	__CDA_UNASSIGNED__
radiation, stereotactic/gamma knife/srs	__CDA_UNASSIGNED__
radiation, systemic	__CDA_UNASSIGNED__
radioembolization	__CDA_UNASSIGNED__
radiosensitizing agent	__CDA_UNASSIGNED__
radiotherapy	__CDA_UNASSIGNED__
rectosigmoid colectomy	__CDA_UNASSIGNED__
rectum and lymphd node radiation	__CDA_UNASSIGNED__
rectum/nodes	__CDA_UNASSIGNED__
removal of right subclavian porta catheter and placement of a single lumen power injectable subcutaneous port	__CDA_UNASSIGNED__
resection	__CDA_UNASSIGNED__
resection of a mass at the left medial thigh	__CDA_UNASSIGNED__
resection of periumbilical mass	__CDA_UNASSIGNED__
right cervical lymph node biopsy	__CDA_UNASSIGNED__
right colectomy	__CDA_UNASSIGNED__
right hepatectomy, right colectomy	__CDA_UNASSIGNED__
right sub trochanteric fracture orif w/ tfn	__CDA_UNASSIGNED__
right video assisted thorascopic upper lobectomy and mediastinal lymphadenectomy	__CDA_UNASSIGNED__
robotic assisted laparoscopic radical prostatectomy	__CDA_UNASSIGNED__
robotic assisted left lung upper lobe wedge	__CDA_UNASSIGNED__
robotic lar with temporary ileostomy	__CDA_UNASSIGNED__
robotic lower anterior resection	__CDA_UNASSIGNED__
robotic radical nephrectomy	__CDA_UNASSIGNED__
robotic-assisted right upper lobectomy and mediastinal lymph node dissection	__CDA_UNASSIGNED__
rt + chemo	__CDA_UNASSIGNED__
salvage radiotherapy	__CDA_UNASSIGNED__
sbrt	__CDA_UNASSIGNED__
sigmoid resection	__CDA_UNASSIGNED__
single fraction palliative radiation treatment (external beam radiotherapy) - to the t4-t8 site	__CDA_UNASSIGNED__
single palliative radiation treatment	__CDA_UNASSIGNED__
single palliative radiation treatment to t10-l1	__CDA_UNASSIGNED__
spay	__CDA_UNASSIGNED__
srs cyberknife	__CDA_UNASSIGNED__
stem cell transplantation, allogeneic	__CDA_UNASSIGNED__
stem cell transplantation, autologous	__CDA_UNASSIGNED__
stem cell transplantation, nos	__CDA_UNASSIGNED__
stereotactic ablative radiotherapy	__CDA_UNASSIGNED__
stereotactic radiosurgery	__CDA_UNASSIGNED__
stereotactic volumetric resection of right occipital intraaxial lesion.	__CDA_UNASSIGNED__
steroid therapy	__CDA_UNASSIGNED__
subtotal colectomy, end ileostomy, liver biopsy and wedge (segment 8)	__CDA_UNASSIGNED__
surgery, minimally invasive	__CDA_UNASSIGNED__
surgery, nos	__CDA_UNASSIGNED__
surgery, open	__CDA_UNASSIGNED__
t10 decompressive laminectomy and partial tumor removal surgery	__CDA_UNASSIGNED__
t4 and t5 laminectomy for epidural tumor resection	__CDA_UNASSIGNED__
targeted drug therapy	__CDA_UNASSIGNED__
targeted molecular therapy	__CDA_UNASSIGNED__
thoracic decompression - removal of tumor	__CDA_UNASSIGNED__
thoracic laminectomy - removal of lesion	__CDA_UNASSIGNED__
thoracic spine biopsy	__CDA_UNASSIGNED__
total pancreatectomy	__CDA_UNASSIGNED__
tumor debulking	__CDA_UNASSIGNED__
turp	__CDA_UNASSIGNED__
turp and bilateral orchiectomy	__CDA_UNASSIGNED__
umbilical hernia	__CDA_UNASSIGNED__
us guided liver biopsy + dl portacath placement	__CDA_UNASSIGNED__
us guided needle liver biopsy	__CDA_UNASSIGNED__
wbrt	__CDA_UNASSIGNED__
whipple	__CDA_UNASSIGNED__
whole brain radiation	__CDA_UNASSIGNED__
whole brain radiation; received 4 out of 10 fractions (1200 cgy of 3000 cgy)	__CDA_UNASSIGNED__
wide local excision of right thigh melanoma with primary closure sentinel lymph node biopsy of right inguinal lymph node	__CDA_UNASSIGNED__
xrt	__CDA_UNASSIGNED__
xrt brain boost	__CDA_UNASSIGNED__
y90 radioembolization	__CDA_UNASSIGNED__
yttrium 90 radio embolization y90 microspheres injection	__CDA_UNASSIGNED__
