harmonized_disease_term_id	harmonized_disease_term_name	harmonized_disease_term_count_in_last_CDA_release	slim_disease_term_id	slim_disease_term_name	slim_disease_term_count_in_last_CDA_release
8246/3	Neuroendocrine carcinoma, NOS	928		Adenomas and adenocarcinomas	97819
8246/6	Metastatic Neuroendocrine carcinoma	2		Adenomas and adenocarcinomas	97819
8247/3	Merkel cell carcinoma	102		Adenomas and adenocarcinomas	97819
8249/3	Neuroendocrine tumor, grade 2	57		Adenomas and adenocarcinomas	97819
8249/6	Metastatic  Atypical carcinoid tumor	1		Adenomas and adenocarcinomas	97819
8250/3	Lepidic adenocarcinoma	66		Adenomas and adenocarcinomas	97819
8252/3	Bronchiolo-alveolar carcinoma, non-mucinous	46		Adenomas and adenocarcinomas	97819
8253/3	Adenocarcinoma of the lung, mucinous	22		Adenomas and adenocarcinomas	97819
8255/3	Adenocarcinoma with mixed subtypes	462		Adenomas and adenocarcinomas	97819
8257/3	Minimally invasive adenocarcinoma, mucinous	1			22
8260/3	Papillary adenocarcinoma, NOS	5133		Adenomas and adenocarcinomas	97819
8261/3	Adenocarcinoma in villous adenoma	0		Adenomas and adenocarcinomas	97819
8262/3	Villous adenocarcinoma	0		Adenomas and adenocarcinomas	97819
8263/0	Tubulovillous adenoma, NOS	14		Adenomas and adenocarcinomas	97819
8263/3	Adenocarcinoma in tubulovillous adenoma	17		Adenomas and adenocarcinomas	97819
8265/3	Micropapillary carcinoma, NOS	11		Adenomas and adenocarcinomas	97819
8271/0	Lactotroph adenoma	0		Adenomas and adenocarcinomas	97819
8272/0	Pituitary adenoma, NOS	21		Adenomas and adenocarcinomas	97819
8272/3	Pituitary carcinoma, NOS	0		Adenomas and adenocarcinomas	97819
8290/0	Oxyphilic adenoma	61		Adenomas and adenocarcinomas	97819
8290/3	Oxyphilic adenocarcinoma	3		Adenomas and adenocarcinomas	97819
8310/0	Clear cell adenoma	0		Adenomas and adenocarcinomas	97819
8310/3	Clear cell adenocarcinoma, NOS	5618		Adenomas and adenocarcinomas	97819
8311/3	Hereditary leiomyomatosis and renal cell carcinoma (HRCC)-associated renal cell carcinoma	4		Adenomas and adenocarcinomas	97819
8312/3	Renal cell carcinoma, NOS	11271		Adenomas and adenocarcinomas	97819
8317/3	Renal cell carcinoma, chromophobe type	1057		Adenomas and adenocarcinomas	97819
8318/3	Renal cell carcinoma, sarcomatoid	1		Adenomas and adenocarcinomas	97819
8319/3	Collecting duct carcinoma	16		Adenomas and adenocarcinomas	97819
8330/3	Follicular carcinoma, NOS	60		Adenomas and adenocarcinomas	97819
8331/3	Follicular adenocarcinoma, well differentiated	0		Adenomas and adenocarcinomas	97819
8335/3	Follicular carcinoma, minimally invasive	4		Adenomas and adenocarcinomas	97819
8336/1	Hyalinizing trabecular tumor	0		Adenomas and adenocarcinomas	97819
8337/3	Poorly differentiated thyroid carcinoma	0		Adenomas and adenocarcinomas	97819
8340/3	Papillary carcinoma, follicular variant	345		Adenomas and adenocarcinomas	97819
8341/3	Papillary microcarcinoma	5		Adenomas and adenocarcinomas	97819
8342/3	Papillary carcinoma, oncocytic variant	3		Adenomas and adenocarcinomas	97819
8344/3	Papillary carcinoma, columnar cell	117		Adenomas and adenocarcinomas	97819
8350/3	Nonencapsulated sclerosing carcinoma	12		Adenomas and adenocarcinomas	97819
8370/0	Adrenal cortical adenoma, NOS	14		Adenomas and adenocarcinomas	97819
8370/3	Adrenal cortical carcinoma	1970		Adenomas and adenocarcinomas	97819
8380/1	Endometrioid adenoma, borderline malignancy	0		Adenomas and adenocarcinomas	97819
8380/3	Endometrioid adenocarcinoma, NOS	8902		Adenomas and adenocarcinomas	97819
8382/3	Endometrioid adenocarcinoma, secretory variant	8		Adenomas and adenocarcinomas	97819
8384/3	Adenocarcinoma, endocervical type	2902		Adenomas and adenocarcinomas	97819
839-842	Adnexal and skin appendage neoplasms	0		Adnexal and skin appendage neoplasms	50
8390/3	Adnexal adenocarcinoma, NOS	42		Adnexal and skin appendage neoplasms	50
8400/3	Sweat gland adenocarcinoma	0		Adnexal and skin appendage neoplasms	50
8401/3	Apocrine adenocarcinoma	5		Adnexal and skin appendage neoplasms	50
8403/0	Spiradenoma, NOS	0		Adnexal and skin appendage neoplasms	50
8409/3	Porocarcinoma, NOS	0		Adnexal and skin appendage neoplasms	50
8410/0	Sebaceoma	1		Adnexal and skin appendage neoplasms	50
8410/3	Sebaceous carcinoma	2		Adnexal and skin appendage neoplasms	50
8430/3	Mucoepidermoid carcinoma	51		Mucoepidermoid neoplasms	51
844-849	Cystic, mucinous and serous neoplasms	48		Cystic, mucinous and serous neoplasms	10686
8440/3	Cystadenocarcinoma, NOS	3		Cystic, mucinous and serous neoplasms	10686
8441/0	Serous cystadenoma, NOS	18		Cystic, mucinous and serous neoplasms	10686
8441/3	Serous carcinoma, NOS	9507		Cystic, mucinous and serous neoplasms	10686
8441/6	Metastatic Serous cystadenocarcinoma	3		Cystic, mucinous and serous neoplasms	10686
8442/1	Serous borderline tumor, NOS	1		Cystic, mucinous and serous neoplasms	10686
8452/1	Solid pseudopapillary tumor of ovary	16		Cystic, mucinous and serous neoplasms	10686
8452/3	Solid pseudopapillary neoplasm of the pancreas	0		Cystic, mucinous and serous neoplasms	10686
8453/0	Intraductal Papillary mucinous adenoma	37		Cystic, mucinous and serous neoplasms	10686
8453/2	Intraductal Papillary mucinous neoplasm with high grade dysplasia	36		Cystic, mucinous and serous neoplasms	10686
8453/3	Intraductal Papillary mucinous neoplasm with an associated invasive carcinoma	18		Cystic, mucinous and serous neoplasms	10686
8460/3	Low grade serous carcinoma	187		Cystic, mucinous and serous neoplasms	10686
8461/3	High grade serous carcinoma	24		Cystic, mucinous and serous neoplasms	10686
8461/6	Metastatic Serous surface papilloma	10		Cystic, mucinous and serous neoplasms	10686
8470/0	Mucinous cystadenoma, NOS	7		Cystic, mucinous and serous neoplasms	10686
8470/2	Mucinous cystic neoplasm with high grade dysplasia	1		Cystic, mucinous and serous neoplasms	10686
8472/1	Mucinous cystic tumor of borderline malignancy	2		Cystic, mucinous and serous neoplasms	10686
8474/3	Seromucinous carcinoma	0		Cystic, mucinous and serous neoplasms	10686
8480/3	Mucinous adenocarcinoma	631		Cystic, mucinous and serous neoplasms	10686
8480/6	Pseudomyxoma peritonei	2		Cystic, mucinous and serous neoplasms	10686
8481/3	Mucin-producing adenocarcinoma	8		Cystic, mucinous and serous neoplasms	10686
8482/3	Mucinous carcinoma, gastric type	40		Cystic, mucinous and serous neoplasms	10686
8490/3	Signet ring cell carcinoma	78		Cystic, mucinous and serous neoplasms	10686
8490/6	Metastatic signet ring cell carcinoma	9		Cystic, mucinous and serous neoplasms	10686
850-854	Ductal and lobular neoplasms	0		Ductal and lobular neoplasms	16005
8500/2	Intraductal carcinoma, noninfiltrating, NOS	80		Ductal and lobular neoplasms	16005
8500/3	Infiltrating duct carcinoma, NOS	11248		Ductal and lobular neoplasms	16005
8500/6	Metastatic Infiltrating duct carcinoma	10		Ductal and lobular neoplasms	16005
8501/2	Comedocarcinoma, noninfiltrating	1		Ductal and lobular neoplasms	16005
8502/3	Secretory carcinoma	3		Ductal and lobular neoplasms	16005
8503/2	Noninfiltrating intraductal papillary adenocarcinoma	6		Ductal and lobular neoplasms	16005
8503/3	Intraductal papillary adenocarcinoma with invasion	23		Ductal and lobular neoplasms	16005
8507/2	Intraductal micropapillary carcinoma	0		Ductal and lobular neoplasms	16005
8507/3	Invasive micropapillary carcinoma of breast	14		Ductal and lobular neoplasms	16005
8510/3	Medullary carcinoma, NOS	76		Ductal and lobular neoplasms	16005
8520/2	Lobular carcinoma in situ, NOS	8		Ductal and lobular neoplasms	16005
8520/3	Lobular carcinoma, NOS	1035		Ductal and lobular neoplasms	16005
8521/1	Infiltrating ductular carcinoma, borderline malignancy	2		Ductal and lobular neoplasms	16005
8521/3	Infiltrating ductular carcinoma	3254		Ductal and lobular neoplasms	16005
8522/1	Borderline Intraductal carcinoma and lobular	2		Ductal and lobular neoplasms	16005
8522/3	Infiltrating duct and lobular carcinoma	118		Ductal and lobular neoplasms	16005
8523/3	Infiltrating duct mixed with other types of carcinoma	68		Ductal and lobular neoplasms	16005
8524/3	Infiltrating lobular mixed with other types of carcinoma	21		Ductal and lobular neoplasms	16005
8530/3	Inflammatory carcinoma	25		Ductal and lobular neoplasms	16005
8540/3	Paget disease, mammary	0		Ductal and lobular neoplasms	16005
8541/3	Paget disease and infiltrating duct carcinoma of breast	11		Ductal and lobular neoplasms	16005
8542/3	Paget disease, extramammary	0		Ductal and lobular neoplasms	16005
8550/0	Acinar cell adenoma	2		Acinar cell neoplasms	1287
8550/1	Acinar cell tumor	31		Acinar cell neoplasms	1287
8550/3	Acinar cell carcinoma	1254		Acinar cell neoplasms	1287
856-857	Complex epithelial neoplasms	2		Complex epithelial neoplasms	348
8560/3	Adenosquamous carcinoma	165		Complex epithelial neoplasms	348
8562/3	Epithelial-myoepithelial carcinoma	11		Complex epithelial neoplasms	348
8574/3	Adenocarcinoma with neuroendocrine differentiation	4		Complex epithelial neoplasms	348
8575/3	Metaplastic carcinoma, NOS	164		Complex epithelial neoplasms	348
8576/3	Hepatoid adenocarcinoma	2		Complex epithelial neoplasms	348
858	Thymic epithelial neoplasms	0		Thymic epithelial neoplasms	1179
8580/1	Micronodular thymoma with lymphoid stroma	34		Thymic epithelial neoplasms	1179
8580/3	Thymoma, NOS	720		Thymic epithelial neoplasms	1179
8581/3	Thymoma, type A	55		Thymic epithelial neoplasms	1179
8582/3	Thymoma, type AB	114		Thymic epithelial neoplasms	1179
8583/3	Thymoma, type B1	52		Thymic epithelial neoplasms	1179
8584/3	Thymoma, type B2	103		Thymic epithelial neoplasms	1179
8585/3	Thymoma, type B3	51		Thymic epithelial neoplasms	1179
8586/3	Thymic carcinoma, NOS	50		Thymic epithelial neoplasms	1179
859-867	Specialized gonadal neoplasms	0		Specialized gonadal neoplasms	157
8590/1	Sex cord-gonadal stromal tumor, NOS	26		Specialized gonadal neoplasms	157
8591/1	Sex cord-gonadal stromal tumor, incompletely differentiated	3		Specialized gonadal neoplasms	157
8592/1	Sex cord-gonadal stromal tumor, mixed forms	3		Specialized gonadal neoplasms	157
8600/0	Thecoma, NOS	2		Specialized gonadal neoplasms	157
8602/0	Sclerosing stromal tumor	6		Specialized gonadal neoplasms	157
8620/1	Adult granulosa cell tumor of testis	62		Specialized gonadal neoplasms	157
8620/3	Adult granulosa cell tumor of ovary	7		Specialized gonadal neoplasms	157
8622/1	Granulosa cell tumor, juvenile	19		Specialized gonadal neoplasms	157
8631/1	Sertoli-Leydig cell tumor of intermediate differentiation	9		Specialized gonadal neoplasms	157
8631/3	Sertoli-Leydig cell tumor, poorly differentiated	13		Specialized gonadal neoplasms	157
8634/1	Sertoli-Leydig cell tumor, intermediate differentiation, with heterologous elements	2		Specialized gonadal neoplasms	157
8634/3	Sertoli-Leydig cell tumor, poorly differentiated, with heterologous elements	1		Specialized gonadal neoplasms	157
8640/1	Sertoli cell tumor, NOS	4			22
8650/0	Leydig cell tumor of the ovary, NOS	2		Specialized gonadal neoplasms	157
8650/1	Leydig cell tumor of the testis, NOS	2		Specialized gonadal neoplasms	157
8670/0	Lipid cell tumor of ovary	0		Specialized gonadal neoplasms	157
868-871	Paragangliomas and glomus tumors	1		Paragangliomas and glomus tumors	1286
8680/1	Paraganglioma, NOS	67		Paragangliomas and glomus tumors	1286
8680/3	Paraganglioma, malignant	9		Paragangliomas and glomus tumors	1286
8691/1	Aortic body tumor	3		Paragangliomas and glomus tumors	1286
8693/1	Extra-adrenal paraganglioma, NOS	56		Paragangliomas and glomus tumors	1286
8693/3	Extra-adrenal paraganglioma, malignant	32		Paragangliomas and glomus tumors	1286
8700/0	Pheochromocytoma, NOS	971		Paragangliomas and glomus tumors	1286
8700/3	Pheochromocytoma, malignant	145		Paragangliomas and glomus tumors	1286
8710/3	Glomangiosarcoma	0		Paragangliomas and glomus tumors	1286
8711/0	Glomus tumor, NOS	2		Paragangliomas and glomus tumors	1286
8711/3	Glomus tumor, malignant	0		Paragangliomas and glomus tumors	1286
8714/3	Perivascular epithelioid tumor, malignant	0		Paragangliomas and glomus tumors	1286
872-879	Nevi and melanomas	163		Nevi and melanomas	12947
8720/0	Pigmented nevus, NOS	0		Nevi and melanomas	12947
8720/2	Melanoma in situ	5		Nevi and melanomas	12947
8720/3	Malignant melanoma, NOS	12180		Nevi and melanomas	12947
8720/6	Metastatic Malignant melanoma	40		Nevi and melanomas	12947
8721/3	Nodular melanoma	104		Nevi and melanomas	12947
8728/0	Meningeal melanocytosis	0		Nevi and melanomas	12947
8728/1	Meningeal melanocytoma	2		Nevi and melanomas	12947
8728/3	Meningeal melanomatosis	0		Nevi and melanomas	12947
8730/3	Amelanotic melanoma	57		Nevi and melanomas	12947
8742/0	Lentiginous melanocytic nevus	0		Nevi and melanomas	12947
8742/2	Lentigo maligna	4		Nevi and melanomas	12947
8742/3	Lentigo maligna melanoma	14		Nevi and melanomas	12947
8743/3	Low cumulative sun damage melanoma	21		Nevi and melanomas	12947
8744/3	Acral melanoma	9		Nevi and melanomas	12947
8745/3	Desmoplastic melanoma	3		Nevi and melanomas	12947
8746/3	Mucosal lentiginous melanoma	0		Nevi and melanomas	12947
8761/1	Giant pigmented nevus, NOS	0		Nevi and melanomas	12947
8762/1	Proliferative dermal lesion in congenital nevus	0		Nevi and melanomas	12947
8770/3	Malignant Spitz tumor	148		Nevi and melanomas	12947
8771/0	Epithelioid cell nevus	0		Nevi and melanomas	12947
8771/3	Epithelioid cell melanoma	88		Nevi and melanomas	12947
8772/0	Spindle cell nevus, NOS	3		Nevi and melanomas	12947
8772/3	Spindle cell melanoma, NOS	77		Nevi and melanomas	12947
8774/3	Spindle cell melanoma, type B	29		Nevi and melanomas	12947
8780/3	Blue nevus, malignant	0		Nevi and melanomas	12947
880	Soft tissue tumors and sarcomas, NOS	6		Soft tissue tumors and sarcomas	4044
8800/0	Soft tissue tumor, benign	3		Soft tissue tumors and sarcomas	4044
8800/3	Sarcoma, NOS	3713		Soft tissue tumors and sarcomas	4044
8801/3	Spindle cell sarcoma	31		Soft tissue tumors and sarcomas	4044
8801/6	Metastatic Spindle cell sarcoma	1		Soft tissue tumors and sarcomas	4044
8802/3	Giant cell sarcoma	10		Soft tissue tumors and sarcomas	4044
8803/3	Small cell sarcoma	7		Soft tissue tumors and sarcomas	4044
8804/3	Epithelioid sarcoma	22		Soft tissue tumors and sarcomas	4044
8804/6	Metastatic Epithelioid sarcoma	2		Soft tissue tumors and sarcomas	4044
8805/3	Undifferentiated sarcoma	209		Soft tissue tumors and sarcomas	4044
8806/3	Desmoplastic small round cell tumor	40		Soft tissue tumors and sarcomas	4044
881-883	Fibromatous neoplasms	0		Fibromatous neoplasms	399
8810/0	Fibroma, NOS	0		Fibromatous neoplasms	399
8810/3	Fibrosarcoma, NOS	33		Fibromatous neoplasms	399
8811/3	Myxofibrosarcoma	139		Fibromatous neoplasms	399
8814/3	Infantile fibrosarcoma	13		Fibromatous neoplasms	399
8815/0	Solitary fibrous tumor/Hemangiopericytoma, grade 1	1		Fibromatous neoplasms	399
8815/1	Solitary fibrous tumor, NOS	1		Fibromatous neoplasms	399
8821/1	Aggressive fibromatosis	35		Fibromatous neoplasms	399
8822/1	Abdominal fibromatosis	17		Fibromatous neoplasms	399
8823/0	Sclerotic fibroma	10		Fibromatous neoplasms	399
8824/0	Myofibroma	6		Fibromatous neoplasms	399
8824/1	Myofibromatosis	3		Fibromatous neoplasms	399
8825/1	Myofibroblastic tumor, NOS	30		Fibromatous neoplasms	399
8826/0	Angiomyofibroblastoma	0		Fibromatous neoplasms	399
8827/1	Myofibroblastic tumor, peribronchial	0		Fibromatous neoplasms	399
8830/3	Malignant fibrous histiocytoma	72		Fibromatous neoplasms	399
8832/0	Dermatofibroma, NOS	0		Fibromatous neoplasms	399
8832/1	Dermatofibrosarcoma protuberans, NOS	0		Fibromatous neoplasms	399
8832/3	Dermatofibrosarcoma protuberans, fibrosarcomatous	16		Fibromatous neoplasms	399
8833/1	Pigmented dermatofibrosarcoma protuberans	5		Fibromatous neoplasms	399
8835/1	Plexiform fibrohistiocytic tumor	3		Fibromatous neoplasms	399
8836/1	Angiomatoid fibrous histiocytoma	15		Fibromatous neoplasms	399
8840/0	Myxoma, NOS	0		Myxomatous neoplasms	2
8840/3	Myxosarcoma	0		Myxomatous neoplasms	2
8842/0	Ossifying fibromyxoid tumor, NOS	2		Myxomatous neoplasms	2
8850/0	Lipoma, NOS	19		Lipomatous neoplasms	363
8850/3	Liposarcoma, NOS	5		Lipomatous neoplasms	363
8851/0	Fibrolipoma	1		Lipomatous neoplasms	363
8851/3	Liposarcoma, well differentiated, NOS	13		Lipomatous neoplasms	363
8852/3	Myxoid liposarcoma	18		Lipomatous neoplasms	363
8854/3	Pleomorphic liposarcoma	9		Lipomatous neoplasms	363
8858/3	Dedifferentiated liposarcoma	290		Lipomatous neoplasms	363
8860/0	Angiomyolipoma	8		Lipomatous neoplasms	363
8880/0	Hibernoma	0		Lipomatous neoplasms	363
8881/0	Lipoblastomatosis	0		Lipomatous neoplasms	363
889-892	myomatous neoplasm	18		myomatous neoplasm	18
8890/0	Leiomyoma, NOS	0		Myomatous neoplasms	2130
8890/3	Leiomyosarcoma, NOS	617		Myomatous neoplasms	2130
8891/3	Epithelioid leiomyosarcoma	2		Myomatous neoplasms	2130
8894/3	Angiomyosarcoma	3		Myomatous neoplasms	2130
8896/3	Myxoid leiomyosarcoma	21		Myomatous neoplasms	2130
8897/1	Smooth muscle tumor of uncertain malignant potential	2		Myomatous neoplasms	2130
8900/0	Rhabdomyoma, NOS	14		Myomatous neoplasms	2130
8900/3	Rhabdomyosarcoma, NOS	931		Myomatous neoplasms	2130
8901/3	Pleomorphic rhabdomyosarcoma, adult type	3		Myomatous neoplasms	2130
8902/3	Mixed type rhabdomyosarcoma	6		Myomatous neoplasms	2130
8905/0	Genital rhabdomyoma	2		Myomatous neoplasms	2130
8910/3	Embryonal rhabdomyosarcoma, NOS	346		Myomatous neoplasms	2130
8912/3	Spindle cell rhabdomyosarcoma	31		Myomatous neoplasms	2130
8920/3	Alveolar rhabdomyosarcoma	150		Myomatous neoplasms	2130
8920/6	Metastatic Alveolar rhabdomyosarcoma	2		Myomatous neoplasms	2130
893-899	Complex mixed and stromal neoplasms	0		Complex mixed and stromal neoplasms	2541
8930/3	Endometrial stromal sarcoma, NOS	0		Complex mixed and stromal neoplasms	2541
8931/3	Endometrial stromal sarcoma, low grade	0		Complex mixed and stromal neoplasms	2541
8933/3	Adenosarcoma	0		Complex mixed and stromal neoplasms	2541
8936/0	Gastrointestinal stromal tumor, benign	2		Complex mixed and stromal neoplasms	2541
8936/1	Gastrointestinal stromal tumor, NOS	82		Complex mixed and stromal neoplasms	2541
8936/3	Gastrointestinal stromal tumor	97		Complex mixed and stromal neoplasms	2541
8940/0	Pleomorphic adenoma	0		Complex mixed and stromal neoplasms	2541
8941/3	Carcinoma ex pleomorphic adenoma	1			22
8950/3	Mullerian mixed tumor	224		Complex mixed and stromal neoplasms	2541
8950/6	Metastatic Mullerian mixed tumor	1		Complex mixed and stromal neoplasms	2541
8951/3	Mesodermal mixed tumor	3		Complex mixed and stromal neoplasms	2541
8959/0	Benign cystic nephroma	4		Complex mixed and stromal neoplasms	2541
8960/1	Mesoblastic nephroma	0		Complex mixed and stromal neoplasms	2541
8960/3	Nephroblastoma, NOS	1422		Complex mixed and stromal neoplasms	2541
8963/3	Rhabdoid tumor, NOS	163		Complex mixed and stromal neoplasms	2541
8964/3	Clear cell sarcoma of kidney	28		Complex mixed and stromal neoplasms	2541
8970/3	Hepatoblastoma, NOS	0		Complex mixed and stromal neoplasms	2541
8971/3	Pancreatoblastoma	2		Complex mixed and stromal neoplasms	2541
8973/3	Pleuropulmonary blastoma	22		Complex mixed and stromal neoplasms	2541
8980/3	Carcinosarcoma, NOS	440		Complex mixed and stromal neoplasms	2541
8982/3	Myoepithelial carcinoma	38		Complex mixed and stromal neoplasms	2541
8983/0	Adenomyoepithelioma, NOS	0		Complex mixed and stromal neoplasms	2541
8990/1	Mesenchymoma, NOS	0		Complex mixed and stromal neoplasms	2541
8990/3	Mesenchymoma, malignant	0		Complex mixed and stromal neoplasms	2541
8991/3	Embryonal sarcoma	13		Complex mixed and stromal neoplasms	2541
